identity,recordingRef,source,controlBytes,p0riceBytes,p0riceSha256,p0ransBytes,p0ransSha256,p1riceBytes,p1riceSha256,p1ransBytes,p1ransSha256,p2riceBytes,p2riceSha256,p2ransBytes,p2ransSha256
sha256:462c511e3c244e805eeaf8c592c2cf35b8e9e9fab0d3074aad52e7304e6572f6,r4,bv_s,22160762,22195675,ae148bb3c2ca5ffe9833be533b68ca1878903eebf60cb7594acc568ec44c2143,22087898,fc67b6fa4cbfc1159cdf3ca8d14a7726fb559c21ae6ca4600bb2b481b251e810,22060596,27fac9bb45bb4a4204beb3c179bbc36f7cfe1394be9d4ec3e357fe306fa3f1df,21954081,821c25ee1d2d4c3eafdf7ed1518d94d800e7cf78ddb085a523a72eddf663b070,22074425,58a05bbc72d0f1e4bde963b2fbcc2ed3904c57b82140bf8a2e82d3eb7ce1641b,21968611,cac2afe2be30a5bd501640c01fce10e54af3c0a8081be29a3ec136a397493157
sha256:68f41fc0dfa18e77e77ab99f931dc647d9b1c3d60afd981f9b4917c85986532f,r4,synth,26424410,26453117,a39472b3f963201f56f80e6cb30437dd25187fc98d8cdedc0038b29965f6ce4e,26363033,9ae5f1621456862b123830b8d6a1df9d7dbbfa31da125d7eb4dd30a646741d8a,26363940,dc7249ce0b618365094f5d1de4acde838bf5408fdfe9a3544c511293e4f7ee0c,26277553,6f1498120d9d4c3cc13f3c31811401bcfaa9538e25e1b1f28d9273c8b70a6786,26379206,eaccbb840ec9e24c430357949409d411b62411fe806bd9f138fb644e66573b0d,26292550,43f520c2356f6eb958805242a5bc34277464367c81e5a3a1693c5a56017cc82a
sha256:75e819632163ccc65f63fde122cea33b199b559c931ebf68b14b5f8c72520629,r4,fx,11494688,11504179,9abac80fca2be12dd8628541d5d4a118cb6d3524129c1c808822c675766cdb6a,11379343,eaa77c4cc49f520ed65aa03d0d5f3274ad79ad261dc73bfa9f49405474b961b7,11413814,e48d4c23dd857a9cc5fcf93cedafadb008f55a782677ecb98c2b48a0df6a5848,11356629,b488e5ffb13da6f4d9e545b066960644b9135e8ebd9ff0b710065abde38ff5a6,11420652,05c55ff3352bcc185c903409fdf2d1c523539cce98713bf57ebfd9a417296f74,11363489,0866e126c50f8e9bfedf9af5288fbf6f75863b5f210179539f29bdb7b428f69e
sha256:76f8d36d4b2b6ed2efc19418250feaac1fe1868fd919c4c03a6e6f66e3e3f926,r4,outro-fx,7063303,7066841,fb3a4cd7833f0562b4d70ef345adb67e788929dd286d705da4c9fad2beba0711,7056193,3698499dbe25025ca22eea3c04c101cdd57163f73b0cfb05904774a18e4a6710,7053145,84d4ea7749ca9eb3f4dd4dc809663cc3b93d90bbd74819a2ba043161ef674eb2,7042353,a516ac4b762907471af5e3aa6020ef70cd9b8d8a969b6a9acb8e122b4474e402,7058262,e74134cb694efe16a484760c8991b16260744e1eb2d3b421cc0a64add36eb79b,7047445,f9cda8f4bf3d5a92b466c7535023c947ec89c7fa6502ac15e45113083d935620
sha256:820926ccc8557b4cdf81d0c19933f1115dc371d5b53e46ddedb2a87bf4e4e197,r2,synth,7655654,7667856,25f0a58f87dc916ba7fd14144427b66028099b002778e432223771a08f2ce493,7621535,471d0903d4b734391a4b981762acd27f0343e9970b114b4665525bb086ddf791,7522274,6c2c8d6e056c3380fe687f9a55174b2340a71265f2eaebb47b153a7e3e081f7c,7480938,e4968aef066e2a230ba3c5877ebc9cfd3b3b660be7ce6e002000ea121bdce0f2,7522331,c1b33e000138d39cf389685011c9adcded433a5a40ba53889bd6affcfa1b00d5,7481664,1c9f732c2b438400806033d2a1bdc2b7da18c807add01b004df9b06e6d7367b9
sha256:83cc4bfabbda2bb1b0b9fda8bfc7307d190844be9e01cd8ed53b2b904369b147,r3,bv_s,26777376,26804451,394e179929d1b544170cde2ca3a10a3cbdfe8cb7e673fc2b83a99a300ac2f8d6,26717160,7afbb6153401180e87ebaaf25934e2b3871de05fef0bf7aa546874e10f6c6340,26662546,8282bec83cd7ee95a3d6160e57530f94f06c92cc291aa98f2722f17ec5e5bcd8,26590372,e5b75f67af34b630f7675d382c6d9ace13936c99fefc57e7afed24f7cc116f7d,26667234,64f0b95d11ab890025de870632b9b68c328c55d5feb65f30bab4c00d8ccc09d4,26595043,1d085210f48e8f46181fdab01895406c2700c5b29ddcdac3d580622009fb547e
sha256:8b374c1219541d61371b2eacf78d1ddd01acf4e9e7422b369044f7c1df5475e1,r4,vocal-fx,21883180,21919431,6b0a48655fa2ddbc8527c40ed6c6f2137e9015bdf673d658b43cd7c317418af2,21803921,da751f7f08b79c173adc2c026230b719d1ed664c64d8a037a8788ae2ab057127,21732565,cd796f01323b6387550469d468418097a2feae67cc5edee559df8b76bce58e81,21617188,8ccb1d3d753548420943024893ae441dd5ca39d27d0057a998b8e228ba9e4bb2,21747545,e29ed3aaf0e23797ac18b105309a882abf63ed5cbee0fb491f3c75e2dc6d12d9,21632434,8c5df7d64aa46683985deae86f3c287a02500a3961ff49379c45ef991cc729d0
sha256:8faf64b1ebce116931951541fcb35fd000fc9b5f929ae15e47c30ae8666b76a0,r2,drums,11246494,11213626,cd1d25de746ec355d11625c066240cb2c18cc60ad28d2df5bace003a9e947aa6,11072975,4d0aeb7c9c67225a97f11b9c5eed2f2018eb2ab5e35fabdea590fdd2c4ea4320,11071547,28d609768aae18aba009dd91ab0b502b006b55cf25fd5d90dc46ece7363c828d,10943631,373e1009c56107c19825c5a4b8f78ecb401a49ab14ed19bdcb4c427f0c43920c,11072963,fe1a49180e1d4c63f8191ce7cea58c32d9d1a97872b01b581976af7cb2a728e4,10946886,26db4cfb30e75360ebd51d52b17c4c0ebee5e308a506329cbef45ff37222a1b1
sha256:9184f49ee35fa748ecf4d898eb06058d2f499b8348b80736c5c252a99fe36b98,r1,fx,8613366,8595747,2bff0f9f10c88e5ab450520829057418a7021e5a08e21bbceb935e23c000e123,8393125,70a43fc2846b9733376a1dd5c10f3f933ffc6474ed51c63b368a8cfe9e3a7670,8561974,5265171948a44579025725ac7f73c2c220695008bea767088f9e36d5f5bcd2b5,8370857,5865244289084cf1ac543cc8fbd7468a084a596d388de3abe9efebb38d435220,8567322,e27994bf6adf07884b9923a96bb00cb369717ba0d8b1d5c0b9cb0ee307390519,8374917,b532db5446bebcf5b05566b5c13b4f464584c93234b7e15837f27242e2d9e11e
sha256:9a57207ac802bad426435d920b77048ba9dd391797c6a462444c6e375716d36f,r1,synth-6,8351286,8357244,510ef6727914441e13a291883f0ae486045106ba6ef7a8c62d23fab241bb30c3,8306242,e9f29c1e513461262300c2f786383b2838e4f94e5d7d3bf510d3869d61b0e635,8294999,ef9a7e48f52e07143088eb4ff3cd31558786d8e9d7c048e17e17466f61114634,8245183,e3e4dafd947e919cd62848b588897d06f69a48c1ab46ec14805e5aecfead11f9,8298618,19e835e0522bc1bf092ae7ee2b89b3d09071f618186e288ed7287bd201f125eb,8248447,c21bd195e1751e05a00c059ad2f48d3ef2671d2ad7b95f0988f3fa139f9d599e
sha256:b613c11eea1c43c0a0fed317bea191d09146b818c4fe8e7a781cec1061b781f1,r2,vocal-fx,4220317,4207353,76991bae34276332c0a61f06eb588acd33406f573e00d90a600569a720c843c9,4142907,4694fb53f2b6dc14f053b89c98ac2fbd67cadfe44a64aaf4ad1c243089261d61,4168925,f5638329deb1b78ddd09bc1483fb43fe6786feb39c4f4c35092afb31469b1c48,4105413,cf1ae5c67058432701794c6b83ba45693de457956ea936df74a7c23a90e5838d,4169157,bd5163972e15772bd00afd71c9acebcc45bfc8c412c342a7f7277b6fccdf3be4,4105213,effe4babe28c89aea2b1cc5f74c7b4f2c7eab2d8fae43cfd1f52e39946c34657
sha256:ba8f39a6c7b1f22bded6ce6d97361a01ce751282b3f1ab08f931b876c6734ae1,r1,bass,3843271,3859608,3ccc791c7411104ea7aa7aed3f11648122ba86722368abc57c702b48706530e1,3780923,75e8c5b816cf5ba95311b3ced982ee36743375cfb9ec7eccfa01ff3c9c5444e5,3815301,07909d2ea04619247651675ce1890b49f98dfbad9451600004eac2092a80e647,3750198,49370a60eb3fdd2337909b6ee6388b42a5b39ff49c67eadc8e94b021b22188d6,3818696,3defcaf7cc4b2a8afcb30def1c155ce00dec694c8ad2af2a0c517ef19a239228,3752291,e6b66e526444fe0a8d458beff2305437e62938faa79c562e0a9b91b2be13005d
sha256:c48e9a6b5621bb213de9d6c0c016c557a4516ba0e02de06deb1141fe7946332f,r1,bv_s,22073511,22045287,3dd2f637d5463e8a1a42567536f77dbe2d7a2df73d25eddcaa9266b5e91d630c,22001216,98d3ae087003dbac41135c18ee2811c702c142ec06b587bb5a9be0bf852a0434,21898277,11ac84a94274ee4dc4f33a96027f0973f9cf2bd963c866324e71cc490d3cf591,21857193,fe097438999b8802c816e1131d7a32a396d6613eb2cc02e183687682e4d6fbd8,21901787,3ea4b35088832adc3a9aab700015791a115b250408fa44ccd575f16292a5a127,21860372,ec15656970de68c696100ef3cd04fe70e8bb06f4a83bed237bf9d47d4ccd8d24
sha256:d2a9ac32d38219a1dbe387f10ae417abb86101f4366683d2e68270ca1b8b5224,r3,synth-2,21314342,21336225,3ef5261672deb4f644ccd86c4bf7c5ff32f35ab5f44d370fca0aaf1f045526b1,21232636,f499440e63190cd6276b1a97c721b7444f0d33b12ab39fa6de1c7559a019b145,21239118,f414880e597a76e71c4b8947b8cc95472a1395ed9738a58c3ebd34d519ce4894,21138897,41daa120646caf57cd43ec6b80cf21c0a645364f3ac565df83a5410391dfac35,21244350,71dcac57a791f833d273ec6a1f16beee91f7182e81cbe0dbc4d399fafb110c0c,21142585,ffb44280fdeb96eac4d2d2d517ab5b3492380eed5423c2ee55d0d518c57d612c
sha256:d60d7992ce0ac81666b6e13b3ae7064ab5c1aad701a026619d78cfb725386d4d,r2,bass,12186685,12203354,bee550febc5e4a0d4e1ab413d9b004035024f68d0c294ded36a4871614a92cfa,12114025,b08a8ebfb353ca9e0291a2a718ee26374bce800a71574e9974e620fb2f8b672b,12097083,b6d42e26eb0a077b3142b715be4251c055fef606e6cc700a81d4e6cdc63a6d1a,12006367,dab8da193e783081b673c1e1439b855ff5bd571a91e351306128eeb436c04189,12101621,d25c38e83d7e9e002982c1a83b19fe3e1b5d9409d7f25a37ce7664d50d6c4dac,12010516,6d632319770899cbf8df877026cafdd00e7c4c83b9ab17636881997e01102e94
sha256:dbb6eda6ecc56c418428f6b41d0b4872948d5be58e6089ecacb538b188dd7a74,r2,verse-vox,7131358,7136701,f390bca99c11717e0653a8a21768ef141056a1d689f07458f1c96dbc7681313f,7101619,a9ef55eea53aa210ce8afe0f8933a17eb5a9376b0d1ea9d85739b36553b49579,7096581,a7c032e40aca193fa695018e2ea4b292e771da1ba67aa0d5319ba286e7136658,7062476,765d9631857207fdf45f7e06a01873ea116b31d2f1f47921de292148b05bbe82,7097266,e84c66204eb636891cf47a600102eaa1850dc4e286f50c19809773ac359d17c9,7063173,89623cb798ef380325b81e9b29fefd9763cbfc6ca75a1027662b8978254445e9
sha256:e5c44270be4bd0862850977ef3d8a06f1b3803d75c276bb243139bae1f56db62,r1,guitar,8479698,8506129,0f8b27b5074bc3bfd01e6fb4584df8209ecb7e4d1b1cc27f0816b25956cb1dff,8425783,a62255ccfe3af8460440b09f3885e7931c07981a52ecc04f723f868e1b6bd2d3,8464026,ca8cada7971610853e297fb8a293f7fcd74ed802f45dc4d70fa9c5eb81398c88,8385207,3e7748f9bfae752393e81ee15154b15602a981c7f3f1655546666964333d9e5a,8485872,45d4e33412517c5d6c9d22027df159c1a3a301a144c53a0fa1ab60c158e0197d,8406550,f30c5c96b01bde1a8039d007009652c1cd63dd0a723b604985648cd04fc814a7
sha256:f797073413ecf7782ec9e767bb4645034e8293b52c86cd888c920b33427c0d59,r4,bass,19214627,19251615,86c061ddf882631c119834a9048dc8974aec1afbe0e1d9b019abf0918324c41e,19125072,684eb0c01c0cbd0db1a044fb43a43715b84239bd7873ae640c7287b2086347c2,19199570,8a0f8d33cab5ca764ed97f65d0cf59072fdc246546b0a5cff861259175a63644,19081401,bb6288dda97c4be2535636ae4e993ca848198f919e8813a14c44e899dd0bcd15,19217266,491c31d013e1e45abd650d875c1aff77347c5f95c68fb6bd8272622b094e023d,19096549,8c95dae1ab39561ee21a185ff8b1ef5028ad4dfe150e5e07885ff658f1a9c386
sha256:fc78916013c03b9827b97fe5d422b260b2926d7bd7159c9b8c967e2a49edeef3,r4,lead-vox,26684233,26721183,b4b70261fb4ce1d87a8e86f4c41762d4b7fb72800077b80569874c28ed2c3dc5,26641690,993a18bc5954833dbfd578e8df0cfe55c92206adfd933517880454c8f3a1b15b,26520274,57b68e3eb06c53eed5890208ec1b973a50e54dee8934b60f1c64def5f9043625,26440286,bc1a10e0d6371673b3f1d2fe5fae92821f940307d6a3990df4265dbb680a3bc3,26528277,bf97ab3c1a81585d6935dfc114e235b98878c6c148e924eea48cb0311fe29565,26449179,9029a09dceeaeef542eead8fffd581637fa9d0bf66f7963523db56020493b459
sha256:fdae0da08b49b80492caad638119441bd2a0f2a2330642ff84e3baaafbb03cda,r3,lead-vox,24119598,24146386,6bd4ed10b34cb4e1f3e33b68b07026d3af9906ec2841830a3ba9087f9414a5f2,24066240,170cbbfe06bd232bb9cbe6eb1ccf5551ddaafce2a29ea735ee2fe88ea7457d23,23999796,28f1d0ace9a95355bb813143c8a03db9215723d77cc0dfaab85e91f7759a4644,23923584,f791f258f9bf325c1a76aabcdb4da77909f7c762f75336dc1fef1db01fa29f41,24002262,b1296bf26ef26add7b02f3db464571bf72da6d7adf96032b26f2174b66425a91,23925730,9fcfda8a9aae9712ca72b4b11f9bf1e0923c521fef2103013c49d7691cfe3a16
